snapped_at,price,market_cap,total_volume,hash_rate
2013-07-30 00:00:00 UTC,101.5000,1165105812.0000,0.0000,276574966315309
2013-07-31 00:00:00 UTC,110.3400,1267183179.0000,0.0000,306097013281550
2013-08-01 00:00:00 UTC,106.2300,1220481782.0000,0.0000,295220469662408
2013-08-02 00:00:00 UTC,101.6100,1167849454.0000,0.0000,275021174369717
2013-08-03 00:00:00 UTC,103.7000,1192378895.0000,0.0000,298328053553591
2013-08-04 00:00:00 UTC,104.8600,1206152150.0000,0.0000,264144630750576
2013-08-05 00:00:00 UTC,106.5600,1226188584.0000,0.0000,332726003140465
2013-08-06 00:00:00 UTC,105.8410,1218425716.0000,0.0000,351314048008648
2013-08-07 00:00:00 UTC,106.7500,1229098150.0000,0.0000,353172852495466
2013-08-08 00:00:00 UTC,101.6720,1171586790.0000,0.0000,345737634548193
2013-08-09 00:00:00 UTC,103.4000,1192028805.0000,0.0000,381054919797740
2013-08-10 00:00:00 UTC,102.7100,1184605785.0000,0.0000,362466874929557
2013-08-11 00:00:00 UTC,103.7700,1197378682.0000,0.0000,390348942231831
2013-08-12 00:00:00 UTC,105.1800,1214268916.0000,0.0000,401501769152740
2013-08-13 00:00:00 UTC,106.0680,1225008501.0000,0.0000,401501769152740
2013-08-14 00:00:00 UTC,111.6210,1289602061.0000,0.0000,340161221087738
2013-08-15 00:00:00 UTC,111.8700,1292943118.0000,0.0000,424333669880228
2013-08-16 00:00:00 UTC,109.8670,1270257534.0000,0.0000,429385261188326
2013-08-17 00:00:00 UTC,112.7400,1304015666.0000,0.0000,424333669880228
2013-08-18 00:00:00 UTC,114.4000,1323762440.0000,0.0000,479901174269305
2013-08-19 00:00:00 UTC,118.7820,1375023402.0000,0.0000,490004356885501
2013-08-20 00:00:00 UTC,120.5000,1395441212.0000,0.0000,447065830766669
2013-08-21 00:00:00 UTC,121.5100,1407757143.0000,0.0000,479901174269305
2013-08-22 00:00:00 UTC,122.4990,1419858347.0000,0.0000,495055948193599
2013-08-23 00:00:00 UTC,120.0000,1391517000.0000,0.0000,545571861274579
2013-08-24 00:00:00 UTC,120.4400,1397179275.0000,0.0000,495055948193599
2013-08-25 00:00:00 UTC,122.0000,1415749000.0000,0.0000,462220604690963
2013-08-26 00:00:00 UTC,122.0400,1416676932.0000,0.0000,493536435943844
2013-08-27 00:00:00 UTC,125.6700,1459371151.0000,0.0000,542563234216411
2013-08-28 00:00:00 UTC,123.0200,1429111038.0000,0.0000,552368593870925
2013-08-29 00:00:00 UTC,123.4400,1434594992.0000,0.0000,581784672834465
2013-08-30 00:00:00 UTC,129.2000,1502172870.0000,0.0000,617737658234348
2013-08-31 00:00:00 UTC,137.7600,1602407100.0000,0.0000,670032909725087
2013-09-01 00:00:00 UTC,138.1700,1607960283.0000,0.0000,728865067652167
2013-09-02 00:00:00 UTC,137.1700,1597132036.0000,0.0000,722328161215825
